,meas_wm,wm_019,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
509,0.15,0.19633908886835227,19,N20-10-1,14,2,0.0,45.0,237.00000000000003,10.0,0.0078539816339744,1,1a,1,1
510,0.12,0.2004812637389926,19,N20-10-1,7,2,0.0,45.0,242.0,10.0,0.0078539816339744,1,1a,1,1
511,0.17,0.23444709767824345,19,N20-10-1,16,2,0.0,45.0,283.0,10.0,0.0078539816339744,1,1a,1,1
512,0.17,0.2352755326523715,19,N20-10-1,19,2,0.0,45.0,284.0,10.0,0.0078539816339744,1,1a,1,1
513,0.14,0.22119213809219432,19,N20-10-1,11,2,0.0,45.0,267.0,10.0,0.0078539816339744,1,1a,1,1
514,0.15,0.22533431296283468,19,N20-10-2,13,2,0.0,45.0,272.0,10.0,0.0078539816339744,1,1a,1,1
515,0.19,0.24273144741952415,19,N20-10-2,18,2,0.0,45.0,293.0,10.0,0.0078539816339744,1,1a,1,1
516,0.14,0.22450587798870664,19,N20-10-2,10,2,0.0,45.0,271.0,10.0,0.0078539816339744,1,1a,1,1
517,0.21,0.27172667151400653,19,N20-10-2,19,2,0.0,45.0,328.0,10.0,0.0078539816339744,1,1a,1,1
518,0.19,0.265099191720982,19,N20-10-2,15,2,0.0,45.0,320.0,10.0,0.0078539816339744,1,1a,1,1
519,0.11,0.2004812637389926,19,N20-10-2,6,2,0.0,45.0,242.0,10.0,0.0078539816339744,1,1a,1,1
520,0.17,0.24273144741952415,19,N20-10-2,14,2,0.0,45.0,293.0,10.0,0.0078539816339744,1,1a,1,1
521,0.12,0.2004812637389926,19,N20-10-2,9,2,0.0,45.0,242.0,10.0,0.0078539816339744,1,1a,1,1
522,0.13,0.1988243937907365,19,N20-10-2,12,2,0.0,45.0,240.0,10.0,0.0078539816339744,1,1a,1,1
523,0.18,0.22533431296283468,19,N20-10-2,17,2,0.0,45.0,272.0,10.0,0.0078539816339744,1,1a,1,1
524,0.21,0.24770205726429254,19,N20-10-3,13,2,0.0,45.0,299.0,10.0,0.0078539816339744,1,1a,1,1
525,0.11,0.22699118291109083,19,N20-10-3,9,2,0.0,45.0,274.0,10.0,0.0078539816339744,1,1a,1,1
526,0.26,0.27504041141051877,19,N20-10-3,18,2,0.0,45.0,332.0,10.0,0.0078539816339744,1,1a,1,1
527,0.14,0.20710874353201716,19,N20-10-3,11,2,0.0,45.0,250.00000000000003,10.0,0.0078539816339744,1,1a,1,1
528,0.2,0.22699118291109083,19,N20-10-3,16,2,0.0,45.0,274.0,10.0,0.0078539816339744,1,1a,1,1
529,0.11,0.2062803085578891,19,N20-10-3,7,2,0.0,45.0,249.0,10.0,0.0078539816339744,1,1a,1,1
530,0.23,0.2543295370573171,19,N20-10-3,17,2,0.0,45.0,307.0,10.0,0.0078539816339744,1,1a,1,1
531,0.18,0.2037950036355049,19,N20-10-3,15,2,0.0,45.0,246.0,10.0,0.0078539816339744,1,1a,1,1
532,0.18,0.22616274793696275,19,N20-10-3,12,2,0.0,45.0,273.0,10.0,0.0078539816339744,1,1a,1,1
533,0.22,0.25184423213493284,19,N20-10-3,20,2,0.0,45.0,304.0,10.0,0.0078539816339744,1,1a,1,1
534,0.24,0.28498163110005564,19,N20-10-3,21,2,0.0,45.0,344.0,10.0,0.0078539816339744,1,1a,1,1
