,meas_wmax,wmax_001b,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
269,0.253,0.2682195947799116,19,N10-10-3,8,2,0.0,45.0,276.0,10.0,0.0078539816339744,1,1a,1,1
270,0.228,0.2458679618815856,19,N10-10-3,10,2,0.0,45.0,253.0,10.0,0.0078539816339744,1,1a,1,1
271,0.253,0.2701632150319399,19,N10-10-3,11,2,0.0,45.0,278.0,10.0,0.0078539816339744,1,1a,1,1
272,0.262,0.28668398717418087,19,N10-10-3,12,2,0.0,45.0,295.0,10.0,0.0078539816339744,1,1a,1,1
273,0.243,0.23420624036941562,19,N10-10-3,13,2,0.0,45.0,241.00000000000003,10.0,0.0078539816339744,1,1a,1,1
274,0.253,0.2682195947799116,19,N10-10-3,14,2,0.0,45.0,276.0,10.0,0.0078539816339744,1,1a,1,1
275,0.262,0.28668398717418087,19,N10-10-3,15,2,0.0,45.0,295.0,10.0,0.0078539816339744,1,1a,1,1
276,0.34,0.32166915171069105,19,N10-10-3,16,2,0.0,45.0,331.0,10.0,0.0078539816339744,1,1a,1,1
277,0.377,0.32944363271880445,19,N10-10-3,20,2,0.0,45.0,339.0,10.0,0.0078539816339744,1,1a,1,1
278,0.092,0.22652962300768656,19,N10-14-1,16,2,0.0,43.0,163.0,14.0,0.0153938040025899,1,1a,1,1
279,0.166,0.21541160470056084,19,N10-14-1,18,2,0.0,43.0,155.0,14.0,0.0153938040025899,1,1a,1,1
280,0.152,0.2501554119103287,19,N10-14-1,19,2,0.0,43.0,180.0,14.0,0.0153938040025899,1,1a,1,1
281,0.192,0.28628897140848725,19,N10-14-1,20,2,0.0,43.0,206.0,14.0,0.0153938040025899,1,1a,1,1
282,0.201,0.277950457678143,19,N10-14-1,21,2,0.0,43.0,200.0,14.0,0.0153938040025899,1,1a,1,1
283,0.215,0.30435575115756663,19,N10-14-1,22,2,0.0,43.0,219.00000000000003,14.0,0.0153938040025899,2,1a,1,1
284,0.229,0.3210327786182552,19,N10-14-1,23,2,0.0,43.0,231.0,14.0,0.0153938040025899,2,1a,1,1
285,0.257,0.36228848131794056,19,N10-14-1,24,2,0.0,43.0,258.0,14.0,0.0153938040025899,2,1a,1,1
286,0.337,0.49894745634302756,19,N10-14-1,25,2,0.0,43.0,317.0,14.0,0.0153938040025899,2,1a,1,1
287,0.092,0.22236036614251442,19,N10-14-2,13,2,0.0,43.0,160.0,14.0,0.0153938040025899,1,1a,1,1
288,0.092,0.22652962300768656,19,N10-14-2,16,2,0.0,43.0,163.0,14.0,0.0153938040025899,1,1a,1,1
289,0.166,0.2126321001237794,19,N10-14-2,18,2,0.0,43.0,153.0,14.0,0.0153938040025899,1,1a,1,1
290,0.207,0.26683243937101725,19,N10-14-2,19,2,0.0,43.0,192.0,14.0,0.0153938040025899,1,1a,1,1
291,0.215,0.3113045125995202,19,N10-14-2,20,2,0.0,43.0,224.0,14.0,0.0153938040025899,2,1a,1,1
292,0.257,0.3576559736899715,19,N10-14-2,21,2,0.0,43.0,256.0,14.0,0.0153938040025899,2,1a,1,1
293,0.352,0.4804174258311513,19,N10-14-2,22,2,0.0,43.0,309.0,14.0,0.0153938040025899,2,1a,1,1
294,0.145,0.1963597713016486,19,N10-20-1,25,2,0.0,40.0,165.0,20.0,0.0314159265358979,2,1a,1,1
295,0.176,0.24275891733762414,19,N10-20-1,26,2,0.0,40.0,191.0,20.0,0.0314159265358979,2,1a,1,1
296,0.174,0.29272722845329013,19,N10-20-1,27,2,0.0,40.0,219.0,20.0,0.0314159265358979,2,1a,1,1
297,0.145,0.19814435384149384,19,N10-20-2,24,2,0.0,40.0,166.0,20.0,0.0314159265358979,2,1a,1,1
298,0.176,0.24275891733762414,19,N10-20-2,25,2,0.0,40.0,191.0,20.0,0.0314159265358979,2,1a,1,1
299,0.174,0.2962963935329806,19,N10-20-2,26,2,0.0,40.0,221.0,20.0,0.0314159265358979,2,1a,1,1
300,0.153,0.28023515067437366,19,N10-20-2,27,2,0.0,40.0,212.0,20.0,0.0314159265358979,2,1a,1,1
